# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.762      551.105
       0.013        0.000       38.426      551.609
       0.025        0.000       39.578      552.496
       0.038        0.000       39.781      552.418
       0.050        0.000       42.301      553.434
       0.064        0.000       42.293      553.469
       0.078        0.000       42.801      558.730
       0.091        0.000       43.723      558.859
       0.103        0.000       45.012      558.859
       0.115        0.000       47.578      560.793
       0.127        0.000       48.277      560.340
       0.140        0.000       49.551      560.340
       0.152        0.000       51.094      561.090
       0.164        0.000       51.590      561.090
       0.176        0.000       51.727      561.090
       0.188        0.000       51.926      561.340
       0.200        0.000       52.766      562.590
       0.213        0.000       53.016      562.590
       0.225        0.000       53.160      562.590
       0.237        0.000       53.969      572.090
       0.249        0.000       54.180      572.090
       0.261        0.000       54.418      572.090
       0.273        0.000       55.719      572.340
       0.287        0.000       60.281      605.078
       0.301        0.000       63.652      615.426
       0.321        0.000       63.816      615.566
       0.339        0.000       63.957      608.668
       0.357        0.000       69.992      611.258
       0.380        0.000       72.141      611.703
       0.399        0.000       72.980      627.480
       0.418        0.000       73.180      627.730
       0.478        0.000       73.492      627.730
       0.516        0.000       82.762      627.984
       0.555        0.000       84.438      628.230
       0.594        0.000       90.516      628.480
       0.631        0.000       96.461      634.980
       0.669        0.000      108.957      648.230
       0.708        0.000      116.660      655.230
       0.747        0.000      107.102      644.867
       0.799        0.000      177.246     1725.676
       0.854        0.000      247.887     2806.398
       0.919        0.000      253.082     2813.379
       0.969        0.000      260.988     2821.414
       1.013        0.000      269.230     2834.324
       1.055        0.000      275.215     2845.090
       1.095        0.000      282.527     2847.992
       1.137        0.000      285.594     2850.789
       1.180        0.000      289.840     2851.836
       1.220        0.000      297.836     2870.465
       1.260        0.000      303.707     2888.723
       1.303        0.000      308.590     2891.504
       1.343        0.000      315.965     2894.234
       1.381        0.000      326.172     2896.672
       1.419        0.000      331.855     2899.414
       1.461        0.000      336.984     2900.586
       1.499        0.000      343.477     2902.086
       1.536        0.000      350.109     2903.086
       1.573        0.000      360.434     2911.141
       1.613        0.000      361.137     2911.391
       1.651        0.000      361.832     2912.141
       1.688        0.000      370.023     2920.891
       1.727        0.000      373.004     2922.535
       1.775        0.000      375.152     2923.789
       1.812        0.000      376.449     2926.047
       1.851        0.000      381.691     2930.816
       1.889        0.000      386.160     2934.438
       1.931        0.000      390.016     2938.938
       1.971        0.000      396.652     2945.398
       2.011        0.000      401.176     2949.422
       2.051        0.000      380.625     2817.457
       2.096        0.000      147.359     1055.363
       2.119        0.000      107.543      645.285
       2.130        0.000      107.543      645.285
       2.141        0.000      107.543      645.285
       2.152        0.000       92.758      645.035
       2.162        0.000        2.043        9.512
