# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.098      551.078
       0.011        0.000       37.621      551.594
       0.022        0.000       39.160      552.344
       0.033        0.000       39.422      552.355
       0.045        0.000       40.961      552.633
       0.056        0.000       41.699      553.406
       0.067        0.000       42.016      553.496
       0.078        0.000       42.707      558.625
       0.089        0.000       43.555      559.035
       0.101        0.000       44.582      559.035
       0.112        0.000       46.996      559.949
       0.123        0.000       47.477      560.324
       0.135        0.000       48.238      560.324
       0.146        0.000       49.523      560.324
       0.157        0.000       50.500      561.324
       0.168        0.000       50.629      561.324
       0.180        0.000       50.766      561.324
       0.191        0.000       50.934      561.574
       0.202        0.000       51.953      562.324
       0.213        0.000       52.195      562.324
       0.225        0.000       52.641      571.824
       0.236        0.000       52.898      571.824
       0.248        0.000       53.109      571.824
       0.259        0.000       53.336      571.824
       0.270        0.000       54.348      571.824
       0.281        0.000       56.902      573.461
       0.292        0.000       62.730      615.242
       0.314        0.000       62.930      615.570
       0.331        0.000       62.535      608.234
       0.356        0.000       67.984      610.203
       0.375        0.000       70.785      611.148
       0.392        0.000       72.812      627.176
       0.409        0.000      138.281     1704.484
       0.457        0.000       73.293      627.426
       0.501        0.000       75.398      627.426
       0.534        0.000       80.738      627.676
       0.568        0.000       83.371      627.676
       0.604        0.000       91.383      628.172
       0.639        0.000       96.109      634.926
       0.676        0.000      106.242      645.926
       0.711        0.000      115.766      654.676
       0.746        0.000      105.043      643.203
       0.786        0.000      105.672      643.824
       0.822        0.000      240.777     2802.141
       0.862        0.000      255.637     2813.227
       0.908        0.000      263.832     2821.086
       0.955        0.000      271.668     2833.352
       1.003        0.000      294.039     2857.020
       1.070        0.000      306.441     2873.016
       1.114        0.000      317.934     2895.164
       1.159        0.000      331.898     2899.414
       1.225        0.000      339.285     2905.285
       1.281        0.000      348.809     2924.406
       1.327        0.000      358.668     2943.445
       1.374        0.000      373.812     2981.523
       1.423        0.000      380.316     2983.949
       1.464        0.000      395.824     2989.820
       1.518        0.000      418.000     2996.809
       1.586        0.000      435.938     3002.113
       1.655        0.000      454.242     3006.035
       1.725        0.000      479.938     3020.270
       1.792        0.000      487.434     3024.598
       1.861        0.000      494.074     3031.473
       1.930        0.000      508.391     3046.133
       1.994        0.000      513.453     3049.816
       2.061        0.000      520.840     3055.258
       2.125        0.000      525.426     3060.266
       2.166        0.000      538.066     3074.676
       2.223        0.000      547.277     3081.715
       2.291        0.000      558.180     3093.770
       2.347        0.000      562.551     3097.949
       2.418        0.000      566.750     3101.793
       2.487        0.000      573.348     3109.500
       2.551        0.000      575.988     3111.766
       2.593        0.000      577.102     3112.078
       2.637        0.000      573.039     3107.020
       2.683        0.000      578.547     3112.375
       2.733        0.000      582.328     3115.961
       2.778        0.000      585.375     3118.938
       2.820        0.000      596.586     3127.590
       2.883        0.000      601.738     3132.332
       2.956        0.000      612.223     3140.758
       3.024        0.000      630.129     3157.492
       3.093        0.000      633.301     3157.934
       3.162        0.000      638.066     3161.793
       3.215        0.000      648.613     3172.316
       3.261        0.000      654.906     3178.348
       3.303        0.000      661.168     3184.273
       3.350        0.000      669.402     3193.547
       3.396        0.000      676.699     3201.066
       3.444        0.000      685.449     3209.152
       3.489        0.000      700.625     3223.207
       3.537        0.000      707.641     3229.527
       3.583        0.000      709.957     3231.027
       3.625        0.000      714.328     3236.527
       3.668        0.000      729.816     3251.906
       3.729        0.000      745.195     3265.641
       3.784        0.000      750.578     3270.359
       3.851        0.000      767.027     3287.059
       3.920        0.000      772.895     3292.418
       3.993        0.000      780.320     3300.168
       4.046        0.000      786.691     3305.984
       4.091        0.000      790.941     3310.262
       4.134        0.000      798.371     3317.336
       4.178        0.000      809.703     3328.672
       4.227        0.000      815.891     3334.188
       4.270        0.000      819.562     3337.281
       4.312        0.000      826.246     3344.938
       4.359        0.000      838.059     3358.469
       4.416        0.000      845.527     3364.102
       4.456        0.000      851.180     3369.562
       4.499        0.000      855.727     3373.969
       4.543        0.000      859.727     3378.398
       4.590        0.000      869.949     3388.680
       4.634        0.000      876.621     3394.426
       4.676        0.000      879.680     3398.973
       4.720        0.000      887.145     3405.488
       4.760        0.000      889.922     3407.715
       4.810        0.000      901.484     3419.035
       4.859        0.000      909.648     3427.914
       4.902        0.000      914.555     3432.887
       4.947        0.000      922.285     3440.113
       5.014        0.000      933.340     3451.645
       5.075        0.000      942.797     3460.461
       5.139        0.000      950.965     3469.090
       5.188        0.000      960.219     3477.742
       5.229        0.000      963.570     3481.211
       5.270        0.000      970.066     3488.746
       5.314        0.000      978.590     3495.582
       5.365        0.000      988.621     3506.695
       5.411        0.000      994.020     3511.293
       5.463        0.000      995.133     3515.129
       5.517        0.000      999.336     3519.645
       5.562        0.000     1003.441     3522.684
       5.606        0.000     1013.395     3532.637
       5.658        0.000      983.078     3501.465
       5.713        0.000      952.000     3470.004
       5.752        0.000      952.234     3470.004
       5.787        0.000      957.047     3474.902
       5.823        0.000      793.309     3402.914
       5.858        0.000      105.672      643.824
       5.877        0.000      106.547      644.699
       5.889        0.000      106.547      644.699
       5.900        0.000        2.035        9.512
       5.911        0.000        2.035        9.512
