# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       37.508      545.410
       0.012        0.000       37.766      545.410
       0.023        0.000       38.023      545.410
       0.034        0.000       39.414      546.055
       0.046        0.000       40.523      546.055
       0.058        0.000       41.805      547.309
       0.070        0.000       42.262      552.309
       0.083        0.000       43.852      552.562
       0.095        0.000       44.500      552.898
       0.107        0.000       46.488      553.383
       0.124        0.000       47.520      553.633
       0.137        0.000       49.062      555.090
       0.150        0.000       49.969      554.652
       0.164        0.000       51.250      554.652
       0.177        0.000       53.223      557.219
       0.190        0.000       53.473      557.219
       0.204        0.000       53.707      557.219
       0.216        0.000       54.105      853.984
       0.230        0.000       55.621      855.332
       0.243        0.000       57.855      855.816
       0.258        0.000       58.453      855.633
       0.272        0.000       61.547      856.105
       0.286        0.000       65.652      856.605
       0.301        0.000       66.262      857.051
       0.315        0.000       67.027      857.719
       0.329        0.000       67.852      859.281
       0.343        0.000       67.934      858.969
       0.357        0.000       68.883      875.469
       0.371        0.000       95.809     1408.703
       0.399        0.000      214.691     3032.090
       0.471        0.000      239.559     3043.156
       0.545        0.000      269.066     3078.719
       0.623        0.000      289.621     3113.648
       0.690        0.000      301.711     3128.590
       0.752        0.000      314.262     3131.617
       0.816        0.000      326.172     3137.523
       0.867        0.000      342.051     3156.887
       0.932        0.000      362.102     3218.180
       1.006        0.000      370.777     3221.520
       1.056        0.000      385.754     3227.301
       1.107        0.000      224.945     2051.672
       1.154        0.000      215.738     2539.281
       1.201        0.000      176.512     2490.910
       1.253        0.000      220.688     3037.109
       1.303        0.000      235.043     3047.746
       1.351        0.000      250.727     3072.152
       1.400        0.000      273.062     3100.926
       1.460        0.000      293.133     3124.258
       1.531        0.000      307.199     3132.824
       1.599        0.000      322.520     3153.680
       1.672        0.000      337.449     3158.051
       1.748        0.000      356.910     3200.809
       1.821        0.000      294.809     2636.133
       1.894        0.000      339.250     3178.875
       1.946        0.000      184.805     2002.523
       1.997        0.000      260.367     3081.707
       2.048        0.000      187.234     2496.273
       2.089        0.000      237.289     3048.051
       2.159        0.000      258.195     3078.734
       2.213        0.000      271.070     3097.809
