# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       38.465      551.098
       0.010        0.000       40.129      551.602
       0.020        0.000       41.223      552.102
       0.030        0.000       41.551      552.156
       0.041        0.000       43.285      553.383
       0.051        0.000       43.742      553.445
       0.061        0.000       43.980      557.496
       0.072        0.000       44.922      559.031
       0.082        0.000       45.762      559.285
       0.093        0.000       47.309      559.590
       0.104        0.000       49.258      560.730
       0.114        0.000       50.289      560.730
       0.125        0.000       51.309      560.730
       0.136        0.000       52.594      560.730
       0.146        0.000       53.840      561.480
       0.157        0.000       53.973      561.480
       0.167        0.000       54.133      561.480
       0.178        0.000       54.988      562.730
       0.189        0.000       55.141      562.730
       0.199        0.000       55.328      562.730
       0.210        0.000       56.094      572.480
       0.221        0.000       56.312      572.480
       0.231        0.000       56.531      572.480
       0.242        0.000       56.988      572.480
       0.252        0.000       58.168      572.730
       0.263        0.000       63.219      605.719
       0.274        0.000       67.008      616.289
       0.291        0.000       67.352      616.645
       0.306        0.000       65.336      607.918
       0.321        0.000       68.723      610.312
       0.337        0.000       74.195      613.734
       0.361        0.000       77.391      629.734
       0.385        0.000       77.844      630.180
       0.403        0.000       77.977      630.180
       0.420        0.000      183.035     2250.652
       0.472        0.000       83.941      631.438
       0.522        0.000       87.332      630.957
       0.560        0.000       94.941      630.957
       0.597        0.000       95.773      630.957
       0.634        0.000      100.465      634.707
       0.672        0.000      107.945      642.207
       0.709        0.000      116.898      651.957
       0.745        0.000      127.695      662.457
       0.783        0.000      111.980      645.707
       0.818        0.000      112.012      645.707
       0.854        0.000      115.527      650.602
       0.888        0.000      116.539      651.090
       0.928        0.000      249.902     2809.141
       0.969        0.000      264.574     2819.605
       1.011        0.000      274.574     2821.398
       1.062        0.000      285.633     2844.766
       1.113        0.000      304.559     2853.645
       1.179        0.000      321.738     2889.742
       1.242        0.000      343.848     2904.875
       1.310        0.000      359.305     2910.051
       1.377        0.000      368.547     2915.301
       1.442        0.000      373.531     2917.520
       1.507        0.000      388.164     2989.695
       1.575        0.000      403.461     2993.891
       1.646        0.000      428.844     3001.238
       1.713        0.000      445.523     3009.320
       1.782        0.000      466.469     3014.062
       1.851        0.000      491.512     3030.102
       1.920        0.000      498.004     3032.109
       1.989        0.000      510.367     3042.055
       2.056        0.000      521.516     3052.086
       2.122        0.000      527.785     3056.305
       2.188        0.000      536.082     3066.297
       2.251        0.000      544.918     3074.922
       2.314        0.000      558.664     3088.449
       2.379        0.000      560.633     3088.441
       2.450        0.000      563.867     3092.438
       2.508        0.000      564.359     3092.688
       2.551        0.000      564.605     3092.688
       2.592        0.000      568.738     3097.438
       2.635        0.000      570.004     3098.543
       2.689        0.000      569.879     3098.574
       2.736        0.000      570.797     3099.324
       2.777        0.000      577.730     3106.574
       2.824        0.000      590.246     3118.574
       2.872        0.000      591.145     3119.480
       2.915        0.000      594.887     3121.582
       2.966        0.000      601.078     3126.930
       3.019        0.000      602.168     3127.523
       3.061        0.000      610.891     3136.152
       3.108        0.000      620.535     3144.746
       3.174        0.000      634.090     3156.125
       3.247        0.000      643.594     3167.152
       3.317        0.000      654.512     3178.656
       3.384        0.000      666.773     3191.109
       3.453        0.000      676.730     3199.859
       3.525        0.000      680.625     3202.555
       3.591        0.000      697.883     3220.617
       3.648        0.000      706.582     3228.773
       3.717        0.000      717.777     3241.430
       3.789        0.000      733.316     3255.875
       3.855        0.000      738.410     3259.375
       3.925        0.000      754.098     3275.707
       3.990        0.000      763.613     3284.957
       4.034        0.000      766.441     3287.957
       4.075        0.000      774.141     3295.207
       4.121        0.000      781.609     3302.207
       4.167        0.000      794.219     3314.957
       4.213        0.000      801.926     3322.207
       4.259        0.000      809.637     3330.344
       4.301        0.000      812.961     3332.691
       4.350        0.000      826.305     3347.191
       4.406        0.000      844.289     3360.395
       4.477        0.000      847.734     3369.445
       4.546        0.000      861.266     3383.402
       4.612        0.000      869.117     3389.676
       4.656        0.000      877.363     3397.469
       4.700        0.000      885.238     3406.098
       4.745        0.000      888.570     3408.215
       4.789        0.000      906.363     3427.465
       4.844        0.000      909.086     3428.590
       4.885        0.000      917.320     3436.363
       4.929        0.000      926.922     3447.172
       4.987        0.000      944.953     3464.734
       5.058        0.000      949.582     3468.418
       5.129        0.000      901.242     3419.457
       5.192        0.000      879.418     3398.195
       5.239        0.000      883.738     3401.445
       5.283        0.000      884.332     3401.695
       5.324        0.000      885.105     3402.695
       5.365        0.000      885.863     3403.387
       5.415        0.000      860.781     3378.137
       5.468        0.000      860.184     3377.621
       5.513        0.000      859.344     3376.867
       5.559        0.000      859.355     3376.996
       5.602        0.000      859.469     3377.129
       5.645        0.000      859.484     3377.129
       5.689        0.000      860.359     3377.988
       5.736        0.000      860.223     3377.328
       5.781        0.000      866.629     3383.578
       5.827        0.000      866.883     3383.707
       5.871        0.000      867.578     3384.492
       5.920        0.000      867.836     3384.742
       5.965        0.000      867.621     3384.742
       6.008        0.000      867.621     3384.742
       6.053        0.000      867.836     3384.742
       6.098        0.000      868.090     3384.992
       6.145        0.000      868.090     3384.992
       6.189        0.000      868.109     3384.992
       6.233        0.000      868.375     3384.992
       6.276        0.000      868.375     3384.992
       6.320        0.000      868.375     3384.992
       6.360        0.000      868.375     3385.121
       6.408        0.000      868.551     3385.121
       6.452        0.000      868.551     3385.121
       6.493        0.000      868.617     3385.121
       6.554        0.000      868.848     3385.121
       6.622        0.000      872.141     3389.121
       6.691        0.000      878.273     3394.871
       6.736        0.000      879.820     3396.371
       6.779        0.000      881.008     3397.871
       6.821        0.000      900.336     3417.871
       6.870        0.000      902.902     3419.371
       6.913        0.000      904.711     3421.371
       6.956        0.000      910.379     3427.371
       7.000        0.000      917.613     3433.621
       7.045        0.000      928.953     3445.621
       7.108        0.000      931.785     3447.871
       7.152        0.000      944.934     3462.621
       7.198        0.000      955.535     3471.871
       7.263        0.000      964.016     3480.516
       7.330        0.000      978.496     3494.508
       7.400        0.000      991.855     3507.172
       7.469        0.000     1003.961     3520.301
       7.524        0.000     1006.797     3522.707
       7.566        0.000     1014.531     3529.957
       7.609        0.000     1025.750     3543.477
       7.656        0.000     1034.297     3551.117
       7.712        0.000     1041.324     3559.008
       7.754        0.000     1049.609     3566.848
       7.806        0.000     1029.320     3545.867
       7.860        0.000     1039.102     3555.406
       7.931        0.000     1046.434     3562.148
       8.001        0.000     1058.801     3575.738
       8.048        0.000     1060.516     3576.301
       8.092        0.000     1064.539     3581.508
       8.134        0.000     1072.531     3590.297
       8.177        0.000     1082.848     3599.496
       8.245        0.000     1090.914     3608.762
       8.313        0.000     1103.816     3622.012
       8.382        0.000     1066.551     3583.539
       8.454        0.000     1072.469     3591.039
       8.523        0.000     1074.941     3592.840
       8.587        0.000     1036.496     3553.711
       8.653        0.000     1036.688     3554.004
       8.694        0.000     1038.070     3554.277
       8.744        0.000     1039.074     3554.574
       8.787        0.000     1039.262     3554.574
       8.829        0.000     1041.086     3554.613
       8.877        0.000     1041.086     3554.613
       8.921        0.000     1041.875     3554.879
       8.968        0.000     1043.152     3556.020
       9.013        0.000     1043.418     3556.020
       9.072        0.000     1043.434     3556.020
       9.139        0.000     1045.484     3557.770
       9.206        0.000     1045.500     3558.020
       9.272        0.000     1046.805     3559.020
       9.335        0.000     1046.805     3559.020
       9.397        0.000     1049.141     3561.520
       9.462        0.000     1049.156     3561.520
       9.501        0.000     1049.383     3561.770
       9.551        0.000     1049.383     3561.770
       9.593        0.000     1054.234     3566.156
       9.636        0.000     1054.492     3566.656
       9.679        0.000     1055.277     3567.156
       9.720        0.000     1055.793     3567.906
       9.760        0.000     1065.328     3578.555
       9.807        0.000     1068.434     3579.555
       9.853        0.000     1068.707     3580.305
       9.901        0.000     1069.727     3581.547
       9.945        0.000     1075.137     3587.184
       9.988        0.000     1081.039     3592.184
      10.030        0.000     1082.160     3593.434
      10.072        0.000     1082.418     3594.176
      10.112        0.000     1085.008     3597.059
      10.154        0.000     1093.770     3605.309
      10.196        0.000     1094.504     3606.711
      10.245        0.000     1096.566     3608.453
      10.312        0.000     1106.871     3619.453
      10.363        0.000     1107.625     3620.223
      10.415        0.000     1118.207     3631.566
      10.485        0.000     1121.094     3633.973
      10.528        0.000     1123.672     3635.535
      10.589        0.000     1129.602     3642.285
      10.633        0.000     1133.277     3646.035
      10.681        0.000     1136.855     3648.785
      10.741        0.000     1137.895     3650.121
      10.802        0.000     1138.668     3651.121
      10.869        0.000     1148.512     3661.621
      10.930        0.000     1149.797     3662.176
      10.974        0.000     1153.477     3666.176
      11.017        0.000     1159.922     3672.176
      11.063        0.000     1167.391     3678.926
      11.130        0.000     1161.047     3672.418
      11.195        0.000     1148.117     3659.211
      11.263        0.000     1153.273     3664.461
      11.321        0.000     1155.340     3666.352
      11.362        0.000     1156.371     3667.391
      11.406        0.000     1163.613     3675.891
      11.453        0.000     1164.387     3676.141
      11.494        0.000     1166.191     3678.039
      11.541        0.000     1167.223     3678.789
      11.583        0.000     1171.863     3683.539
      11.626        0.000     1173.398     3685.289
      11.671        0.000     1174.062     3685.539
      11.712        0.000     1174.836     3686.168
      11.755        0.000     1177.930     3689.918
      11.798        0.000     1183.113     3694.859
      11.847        0.000     1183.629     3695.609
      11.890        0.000     1186.973     3698.992
      11.934        0.000     1192.641     3705.121
      11.980        0.000     1194.188     3705.871
      12.023        0.000     1200.117     3711.754
      12.068        0.000     1201.887     3713.191
      12.115        0.000     1207.176     3719.191
      12.160        0.000     1214.129     3724.848
      12.205        0.000     1214.012     3726.348
      12.248        0.000     1219.246     3731.504
      12.294        0.000     1221.566     3733.543
      12.336        0.000     1227.496     3739.293
      12.381        0.000     1234.555     3745.984
      12.434        0.000     1239.430     3752.121
      12.504        0.000     1241.246     3755.121
      12.570        0.000     1252.328     3765.527
      12.638        0.000     1254.938     3767.027
      12.706        0.000     1265.508     3778.410
      12.774        0.000     1267.324     3778.910
      12.832        0.000     1269.121     3780.289
      12.877        0.000     1274.891     3786.441
      12.922        0.000     1280.047     3791.691
      12.967        0.000     1281.594     3792.941
      13.009        0.000     1282.367     3793.691
      13.052        0.000     1288.809     3800.090
      13.099        0.000     1290.613     3801.992
      13.152        0.000     1295.766     3807.121
      13.197        0.000     1301.953     3813.121
      13.241        0.000     1304.531     3815.500
      13.297        0.000     1315.617     3827.379
      13.365        0.000     1318.711     3830.172
      13.433        0.000     1331.586     3843.672
      13.504        0.000     1334.938     3845.672
      13.572        0.000     1351.941     3864.215
      13.634        0.000     1355.281     3865.965
      13.701        0.000     1370.492     3882.633
      13.769        0.000     1366.176     3876.512
      13.840        0.000     1372.621     3883.641
      13.908        0.000     1380.602     3892.141
      13.977        0.000     1387.562     3899.402
      14.031        0.000     1400.945     3911.520
