# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.168      545.566
       0.013        0.000       37.359      545.816
       0.026        0.000       39.328      546.773
       0.039        0.000       39.305      546.680
       0.052        0.000       40.641      547.664
       0.067        0.000       41.199      547.820
       0.079        0.000       43.254      553.719
       0.092        0.000       43.504      553.973
       0.105        0.000       44.777      553.973
       0.118        0.000       45.574      554.562
       0.131        0.000       46.215      554.438
       0.144        0.000       47.137      554.438
       0.157        0.000       49.547      555.980
       0.171        0.000       49.922      556.074
       0.184        0.000       50.223      556.074
       0.196        0.000       51.238      557.324
       0.209        0.000       51.449      557.324
       0.222        0.000       51.684      557.824
       0.234        0.000       53.777      567.973
       0.247        0.000       57.395      578.852
       0.266        0.000       57.766      579.258
       0.285        0.000       58.207      603.074
       0.303        0.000       62.988      606.727
       0.325        0.000       68.785      606.949
       0.346        0.000       72.172      607.172
       0.367        0.000       72.629      606.949
       0.426        0.000       73.273      606.949
       0.464        0.000       80.598      625.949
       0.507        0.000       84.676      628.199
       0.548        0.000       89.168      628.199
       0.591        0.000       93.301      628.949
       0.634        0.000      105.855      635.449
       0.690        0.000      107.066      642.449
       0.733        0.000      114.543      650.176
       0.776        0.000      193.484     2240.512
       0.838        0.000      248.016     2788.660
       0.911        0.000      261.078     2809.145
       0.984        0.000      289.188     2845.398
       1.054        0.000      304.477     2870.762
       1.119        0.000      313.773     2872.672
       1.179        0.000      330.379     2878.648
       1.239        0.000      340.402     2898.492
       1.282        0.000      353.664     2905.938
       1.343        0.000      363.598     2929.219
       1.388        0.000      374.148     2950.148
       1.439        0.000      383.441     2971.383
       1.487        0.000      396.809     2975.715
       1.539        0.000      409.141     2977.875
       1.585        0.000      421.715     2982.480
       1.635        0.000      438.668     2990.785
       1.679        0.000      450.801     2994.910
       1.729        0.000      461.055     3000.410
       1.777        0.000      475.016     3006.660
       1.825        0.000      493.676     3020.371
       1.902        0.000      504.871     3030.828
       1.977        0.000      519.828     3044.777
       2.051        0.000      530.484     3056.719
       2.127        0.000      543.922     3070.371
       2.195        0.000      544.277     3069.945
       2.238        0.000      549.668     3075.672
       2.279        0.000      204.223     1237.988
       2.310        0.000       92.086      626.977
       2.324        0.000        1.898        6.688
