# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       37.465      545.406
       0.011        0.000       37.723      545.406
       0.022        0.000       37.723      545.406
       0.031        0.000       39.246      546.055
       0.042        0.000       39.863      546.055
       0.054        0.000       41.387      547.309
       0.065        0.000       41.598      547.309
       0.077        0.000       43.434      552.562
       0.088        0.000       43.691      552.738
       0.100        0.000       44.438      552.684
       0.111        0.000       45.820      553.008
       0.121        0.000       47.383      554.496
       0.132        0.000       48.781      555.242
       0.143        0.000       50.125      555.242
       0.155        0.000       51.930      556.492
       0.166        0.000       53.105      557.312
       0.177        0.000       53.105      557.312
       0.188        0.000       53.605      557.562
       0.199        0.000       53.875      855.324
       0.211        0.000       55.758      855.949
       0.223        0.000       56.680      855.949
       0.235        0.000       84.922     1390.512
       0.258        0.000      202.926     3012.855
       0.322        0.000      226.016     3028.711
       0.387        0.000       99.492     1397.410
       0.421        0.000      163.910     2473.094
       0.483        0.000      213.621     3022.879
       0.548        0.000      139.738     1944.043
       0.604        0.000      171.723     2478.871
       0.658        0.000      173.875     2476.613
       0.710        0.000      177.883     2489.539
       0.776        0.000      171.914     2473.277
       0.832        0.000      219.422     3024.629
       0.898        0.000      132.859     1934.148
       0.961        0.000      167.242     2474.090
       1.023        0.000      209.707     3015.117
       1.069        0.000      176.887     2484.277
       1.113        0.000      170.797     2478.699
       1.148        0.000      171.609     2473.938
       1.190        0.000      175.156     2476.543
       1.241        0.000      174.051     2473.449
       1.285        0.000      177.609     2478.312
       1.348        0.000      177.035     2482.000
       1.403        0.000      176.992     2478.234
       1.459        0.000      140.867     1937.293
       1.519        0.000      176.910     2481.742
       1.585        0.000      218.062     3024.234
       1.652        0.000      186.199     2486.559
       1.707        0.000      141.965     1942.660
       1.749        0.000       99.914     1395.508
       1.771        0.000      102.480     1397.270
       1.789        0.000      103.031     1397.465
       1.808        0.000      104.781     1403.230
       1.825        0.000       63.371      855.949
       1.838        0.000        1.742        6.688
