# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.145      542.695
       0.009        0.000       35.367      545.320
       0.018        0.000       36.875      545.820
       0.027        0.000       37.496      545.820
       0.036        0.000       38.273      545.832
       0.045        0.000       39.520      546.789
       0.053        0.000       40.020      546.789
       0.062        0.000       40.625      547.293
       0.071        0.000       40.625      547.293
       0.079        0.000       40.625      547.293
       0.087        0.000       41.125      548.043
       0.095        0.000       41.527      548.043
       0.104        0.000       42.770      549.168
       0.112        0.000       44.219      554.168
       0.121        0.000       44.371      554.168
       0.129        0.000       45.387      554.168
       0.138        0.000       46.414      554.168
       0.146        0.000       46.930      555.168
       0.156        0.000       47.266      555.168
       0.165        0.000       47.859      555.168
       0.174        0.000       48.523      555.168
       0.183        0.000       49.793      555.418
       0.193        0.000       50.891      556.418
       0.202        0.000       51.164      556.418
       0.212        0.000       51.301      556.418
       0.221        0.000       53.078      558.168
       0.231        0.000       52.352      558.168
       0.241        0.000       52.555      558.168
       0.251        0.000       52.809      558.168
       0.260        0.000       53.812      567.668
       0.270        0.000       56.980      577.832
       0.286        0.000       57.348      577.941
       0.300        0.000       54.102      568.125
       0.314        0.000       56.879      600.766
       0.327        0.000       56.957      600.828
       0.341        0.000       61.457      603.086
       0.359        0.000       64.234      603.215
       0.380        0.000       68.141      603.469
       0.395        0.000       64.641      603.336
       0.409        0.000       65.391      603.082
       0.423        0.000       67.148      603.082
       0.438        0.000       69.637      605.582
       0.452        0.000       69.637      605.582
       0.466        0.000       69.863      605.582
       0.479        0.000       69.863      605.582
       0.493        0.000       70.410      605.582
       0.507        0.000       72.039      623.082
       0.521        0.000       72.160      623.082
       0.535        0.000       72.371      623.082
       0.549        0.000       72.684      623.082
       0.563        0.000       73.199      623.082
       0.576        0.000       74.562      623.082
       0.590        0.000       76.027      623.332
       0.604        0.000       76.754      623.582
       0.618        0.000       78.781      623.832
       0.632        0.000       82.574      626.082
       0.646        0.000       85.922      626.082
       0.659        0.000       92.609      627.832
       0.673        0.000       95.188      630.082
       0.687        0.000       96.215      630.332
       0.701        0.000      100.637      634.832
       0.716        0.000      101.680      634.832
       0.730        0.000      101.094      634.832
       0.744        0.000      101.094      634.832
       0.758        0.000      101.094      634.832
       0.772        0.000      101.125      634.832
       0.786        0.000      101.125      634.832
       0.799        0.000      101.125      634.832
       0.813        0.000      101.125      634.832
       0.827        0.000      101.031      634.832
       0.841        0.000      100.426      634.832
       0.856        0.000      100.426      634.832
       0.870        0.000      100.453      634.832
       0.885        0.000      100.453      634.832
       0.900        0.000      100.453      634.832
       0.914        0.000      100.453      634.832
       0.927        0.000      100.453      634.832
       0.941        0.000      100.453      634.832
       0.955        0.000      100.453      634.832
       0.969        0.000      100.453      634.832
       0.982        0.000      100.707      634.832
       0.996        0.000      100.359      634.832
       1.010        0.000      100.359      634.832
       1.023        0.000      100.359      634.832
       1.037        0.000      100.359      634.832
       1.050        0.000      100.359      634.832
       1.064        0.000      100.359      634.832
       1.077        0.000      100.359      634.832
       1.091        0.000      100.359      635.582
       1.104        0.000      100.359      635.582
       1.118        0.000      101.340      636.332
       1.132        0.000      101.340      636.332
       1.145        0.000      102.109      636.832
       1.158        0.000      102.109      636.832
       1.170        0.000      102.367      637.832
       1.185        0.000      102.879      637.832
       1.199        0.000      102.879      637.832
       1.212        0.000      103.652      638.832
       1.226        0.000      103.652      638.832
       1.240        0.000      104.426      639.582
       1.254        0.000      104.426      639.582
       1.268        0.000      104.938      640.082
