# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       38.289      550.863
       0.011        0.000       39.844      551.867
       0.021        0.000       40.867      552.117
       0.032        0.000       41.230      552.172
       0.042        0.000       42.652      553.098
       0.052        0.000       43.578      553.430
       0.066        0.000       44.797      558.480
       0.077        0.000       45.820      558.816
       0.088        0.000       46.332      558.816
       0.098        0.000       48.137      559.699
       0.109        0.000       49.859      560.484
       0.120        0.000       50.852      560.309
       0.130        0.000       51.820      560.309
       0.140        0.000       52.848      560.309
       0.150        0.000       53.156      560.855
       0.161        0.000       53.328      560.855
       0.170        0.000       53.461      560.855
       0.180        0.000       54.121      562.105
       0.190        0.000       54.492      562.355
       0.201        0.000       54.707      562.355
       0.210        0.000       55.773      571.105
       0.221        0.000       55.953      571.105
       0.231        0.000       56.258      571.355
       0.241        0.000       56.258      571.355
       0.251        0.000       57.281      571.355
       0.261        0.000       60.578      603.957
       0.272        0.000       63.789      614.109
       0.289        0.000       64.156      614.391
       0.304        0.000       61.660      605.125
       0.320        0.000      166.219     2222.840
       0.362        0.000       62.480      605.375
       0.402        0.000       64.086      605.375
       0.433        0.000      209.727     2773.180
       0.498        0.000      222.988     2777.797
       0.563        0.000      233.719     2801.359
       0.627        0.000      250.320     2808.754
       0.692        0.000      258.402     2822.125
       0.757        0.000      267.633     2843.621
       0.823        0.000      282.539     2856.777
       0.889        0.000      298.363     2860.918
       0.957        0.000      309.242     2867.078
       1.022        0.000      316.871     2871.996
       1.087        0.000      332.230     2927.156
       1.154        0.000      346.098     2927.926
       1.221        0.000      370.328     2937.805
       1.290        0.000      392.078     2960.605
       1.355        0.000      428.258     2985.719
       1.421        0.000      433.117     2988.027
       1.481        0.000      434.133     2988.910
       1.517        0.000       65.035      605.375
       1.555        0.000       65.035      605.375
       1.566        0.000       65.035      605.375
       1.576        0.000       65.035      605.375
       1.587        0.000       65.035      605.375
       1.598        0.000       65.035      605.375
       1.608        0.000       65.035      605.375
       1.618        0.000       65.035      605.375
       1.628        0.000       65.035      605.375
       1.639        0.000        1.895        9.512
