# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       38.008      545.566
       0.012        0.000       38.941      545.816
       0.023        0.000       41.168      546.773
       0.034        0.000       41.316      546.773
       0.046        0.000       42.594      547.777
       0.057        0.000       43.309      548.027
       0.069        0.000       44.840      553.789
       0.080        0.000       46.125      554.043
       0.092        0.000       47.145      554.043
       0.103        0.000       48.422      554.043
       0.114        0.000       49.246      554.434
       0.126        0.000       49.676      554.434
       0.137        0.000       51.094      554.684
       0.148        0.000       52.484      555.738
       0.159        0.000       52.965      555.930
       0.170        0.000       53.906      557.320
       0.182        0.000       54.246      557.320
       0.193        0.000       54.246      557.320
       0.204        0.000       55.539      567.070
       0.215        0.000       59.418      577.766
       0.235        0.000       59.883      578.117
       0.252        0.000       59.352      600.852
       0.270        0.000       59.418      600.855
       0.315        0.000       69.570      603.387
       0.360        0.000       73.684      602.875
       0.399        0.000       75.410      605.125
       0.435        0.000       77.984      623.375
       0.470        0.000       78.156      623.375
       0.505        0.000       81.023      623.375
       0.541        0.000       85.129      623.625
       0.574        0.000       88.641      624.980
       0.608        0.000       90.574      627.230
       0.643        0.000       98.930      627.480
       0.678        0.000       74.246      631.480
       0.709        0.000        1.738        6.688
