# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       38.027      551.090
       0.011        0.000       39.805      551.598
       0.021        0.000       41.086      552.348
       0.032        0.000       41.375      552.359
       0.042        0.000       42.906      552.637
       0.053        0.000       43.590      553.457
       0.066        0.000       44.559      558.586
       0.077        0.000       45.562      559.094
       0.087        0.000       46.074      559.094
       0.098        0.000       47.879      559.855
       0.108        0.000       49.922      560.496
       0.119        0.000       49.809      559.520
       0.131        0.000       50.820      559.520
       0.141        0.000       52.109      560.770
       0.152        0.000       52.996      561.059
       0.164        0.000       53.141      561.059
       0.174        0.000       53.332      561.059
       0.185        0.000       54.262      562.324
       0.196        0.000       54.688      562.496
       0.207        0.000       54.777      562.496
       0.218        0.000       55.719      571.332
       0.230        0.000       55.938      571.469
       0.242        0.000       56.059      571.375
       0.254        0.000       56.816      571.375
       0.266        0.000       58.258      603.965
       0.279        0.000       61.559      614.195
       0.298        0.000       62.059      614.566
       0.314        0.000       59.328      605.145
       0.331        0.000      120.426     1681.223
       0.361        0.000       60.125      605.438
       0.401        0.000       67.242      608.461
       0.436        0.000       72.211      608.715
       0.474        0.000      211.129     2764.266
       0.515        0.000      224.293     2777.621
       0.558        0.000      230.957     2779.129
       0.605        0.000      243.301     2804.285
       0.666        0.000      255.508     2807.914
       0.713        0.000      269.312     2817.344
       0.772        0.000      276.426     2856.363
       0.836        0.000      291.934     2859.672
       0.904        0.000      307.637     2864.695
       0.973        0.000      311.023     2868.582
       1.033        0.000      312.965     2870.699
       1.079        0.000      318.594     2874.680
       1.122        0.000      325.668     2876.180
       1.162        0.000      338.766     2930.551
       1.205        0.000      351.672     2934.531
       1.253        0.000      376.785     2956.402
       1.296        0.000      384.191     2958.152
       1.339        0.000      398.582     2962.527
       1.384        0.000      418.852     2971.355
       1.426        0.000      436.324     2983.855
       1.465        0.000      444.828     2987.410
       1.513        0.000      458.105     2997.297
       1.568        0.000      471.430     3008.730
       1.613        0.000      479.895     3017.652
       1.662        0.000      482.461     3019.031
       1.701        0.000      485.816     3021.984
       1.744        0.000      504.770     3038.488
       1.811        0.000      513.168     3045.984
       1.879        0.000      516.027     3047.863
       1.920        0.000      522.922     3056.035
       1.965        0.000      529.898     3063.031
       2.017        0.000      530.727     3064.277
       2.059        0.000      531.910     3065.070
       2.100        0.000      532.504     3065.820
       2.147        0.000      533.422     3066.477
       2.187        0.000      535.395     3067.473
       2.240        0.000      535.727     3067.605
       2.285        0.000      535.859     3067.605
       2.326        0.000      536.000     3067.605
       2.365        0.000      536.668     3067.605
       2.408        0.000      537.102     3068.105
       2.448        0.000      541.441     3071.996
       2.490        0.000      541.992     3072.496
       2.532        0.000      542.840     3073.844
       2.578        0.000      552.355     3083.594
       2.621        0.000      557.988     3088.844
       2.661        0.000      560.035     3089.844
       2.703        0.000      561.555     3091.594
       2.744        0.000      567.215     3097.844
       2.785        0.000      579.324     3108.844
       2.836        0.000      580.371     3110.977
       2.877        0.000      588.844     3119.727
       2.919        0.000      598.629     3129.977
       2.968        0.000      605.531     3136.660
       3.011        0.000      612.980     3143.910
       3.057        0.000      620.953     3152.066
       3.099        0.000      629.441     3159.316
       3.144        0.000      630.504     3161.504
       3.188        0.000      641.562     3173.004
       3.232        0.000      644.141     3174.754
       3.272        0.000      657.781     3188.406
       3.327        0.000      659.754     3189.906
       3.370        0.000      672.641     3203.535
       3.412        0.000      675.469     3205.535
       3.451        0.000      689.168     3219.691
       3.512        0.000      697.914     3228.902
       3.575        0.000      705.887     3236.297
       3.620        0.000      713.105     3243.797
       3.662        0.000      722.105     3251.742
       3.707        0.000      730.586     3259.621
       3.749        0.000      710.531     3239.758
       3.795        0.000      712.078     3240.508
       3.832        0.000      210.172     2010.750
       3.870        0.000        1.895        9.512
