# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.418      551.234
       0.011        0.000       38.090      551.738
       0.021        0.000       39.125      552.488
       0.031        0.000       39.555      552.543
       0.041        0.000       41.289      553.562
       0.051        0.000       41.684      553.578
       0.062        0.000       42.477      558.668
       0.073        0.000       43.492      559.211
       0.083        0.000       44.008      559.211
       0.094        0.000       46.543      560.125
       0.105        0.000       48.418      560.875
       0.122        0.000       49.688      560.875
       0.133        0.000       51.484      561.875
       0.144        0.000       52.027      561.875
       0.155        0.000       52.176      561.875
       0.165        0.000       52.355      561.875
       0.175        0.000       52.945      563.125
       0.185        0.000       53.191      563.125
       0.196        0.000       53.281      563.125
       0.206        0.000       54.406      572.625
       0.217        0.000       54.668      572.625
       0.227        0.000       54.910      572.625
       0.238        0.000       55.422      572.625
       0.248        0.000       57.215      573.125
       0.258        0.000       63.230      615.316
       0.277        0.000       63.332      615.391
       0.292        0.000       61.254      606.754
       0.309        0.000       65.711      608.750
       0.327        0.000       67.934      610.000
       0.346        0.000       99.445     1147.574
       0.381        0.000      209.406     2777.742
       0.435        0.000       70.793      610.000
       0.479        0.000       72.879      626.250
       0.515        0.000       73.570      626.250
       0.553        0.000       81.176      628.500
       0.590        0.000       89.555      628.500
       0.627        0.000       97.738      633.250
       0.666        0.000      106.215      641.500
       0.703        0.000      112.332      647.457
       0.742        0.000      199.164     2249.559
       0.800        0.000      249.500     2800.738
       0.861        0.000      257.586     2814.160
       0.913        0.000      266.230     2827.816
       0.959        0.000      275.547     2830.754
       1.000        0.000      284.965     2836.422
       1.045        0.000      292.496     2850.477
       1.095        0.000      302.102     2880.754
       1.161        0.000      316.504     2885.984
       1.229        0.000      329.793     2889.598
       1.296        0.000      337.680     2895.688
       1.363        0.000      339.770     2895.531
       1.404        0.000      345.066     2898.160
       1.445        0.000      354.090     2918.730
       1.486        0.000      364.836     2956.102
       1.531        0.000      383.465     2958.574
       1.576        0.000      405.680     2982.871
       1.633        0.000      429.324     2988.816
       1.700        0.000      454.215     3000.648
       1.769        0.000      477.332     3019.688
       1.837        0.000      489.883     3030.293
       1.906        0.000      495.078     3036.082
       1.950        0.000      498.391     3038.020
       1.991        0.000      510.004     3048.512
       2.044        0.000      518.570     3056.797
       2.090        0.000      523.746     3062.766
       2.140        0.000      527.605     3065.207
       2.188        0.000      541.289     3079.211
       2.238        0.000      538.988     3076.969
       2.287        0.000      539.551     3078.465
       2.334        0.000      540.152     3079.008
       2.374        0.000      540.715     3079.160
       2.433        0.000      542.934     3080.289
       2.492        0.000      544.195     3081.270
       2.541        0.000      547.391     3081.250
       2.608        0.000      547.188     3080.293
       2.651        0.000      551.262     3080.285
       2.703        0.000      550.598     3080.535
       2.744        0.000      552.902     3083.535
       2.786        0.000      553.418     3084.035
       2.826        0.000      561.074     3093.035
       2.870        0.000      563.730     3094.535
       2.910        0.000      570.398     3100.785
       2.954        0.000      576.559     3107.785
       2.998        0.000      583.512     3115.285
       3.041        0.000      590.441     3122.035
       3.083        0.000      593.258     3123.285
       3.124        0.000      599.160     3129.285
       3.165        0.000      605.832     3135.785
       3.209        0.000      612.004     3141.785
       3.252        0.000      620.016     3149.312
       3.309        0.000      628.504     3157.312
       3.355        0.000      636.113     3165.738
       3.397        0.000      649.047     3179.617
       3.444        0.000      658.492     3189.023
       3.514        0.000      658.402     3188.855
       3.582        0.000      672.184     3203.355
       3.651        0.000      675.434     3205.668
       3.721        0.000      688.172     3218.477
       3.783        0.000      698.180     3227.355
       3.850        0.000      708.430     3236.879
       3.919        0.000      716.375     3244.988
       3.973        0.000      723.609     3251.918
       4.032        0.000      731.852     3260.305
       4.095        0.000      734.441     3262.652
       4.158        0.000      698.680     3226.152
       4.203        0.000      699.211     3226.652
       4.244        0.000      683.312     3210.426
       4.292        0.000      677.555     3204.465
       4.354        0.000      678.230     3204.883
       4.400        0.000      678.230     3204.883
       4.440        0.000      677.520     3204.367
       4.490        0.000      676.645     3203.734
       4.535        0.000      678.773     3207.379
       4.578        0.000      679.547     3207.379
       4.630        0.000      680.062     3208.379
       4.692        0.000      680.168     3208.879
       4.736        0.000      685.840     3214.879
       4.781        0.000      686.355     3215.379
