# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.445      545.297
       0.010        0.000       35.957      545.297
       0.018        0.000       35.957      545.297
       0.027        0.000       36.543      545.359
       0.035        0.000       37.664      546.352
       0.044        0.000       38.715      546.605
       0.053        0.000       39.355      547.195
       0.063        0.000       39.816      552.445
       0.075        0.000       41.172      552.699
       0.092        0.000       41.566      552.805
       0.103        0.000       41.969      552.848
       0.114        0.000       43.449      553.008
       0.123        0.000       44.676      553.465
       0.133        0.000       45.695      554.594
       0.142        0.000       46.262      554.594
       0.151        0.000       48.355      555.328
       0.160        0.000       49.707      555.914
       0.171        0.000       51.512      557.301
       0.180        0.000       51.512      557.301
       0.189        0.000       51.977      557.301
       0.198        0.000       53.977      845.566
       0.209        0.000       53.988      853.664
       0.220        0.000       56.055      853.977
       0.232        0.000       59.113      854.477
       0.245        0.000       63.707      854.477
       0.255        0.000       64.996      855.395
       0.266        0.000       65.504      856.062
       0.276        0.000       66.051      856.000
       0.287        0.000       66.051      856.141
       0.298        0.000       66.570      856.297
       0.308        0.000      153.766     2460.891
       0.336        0.000      202.156     3009.812
       0.370        0.000      213.051     3013.945
       0.403        0.000      229.223     3031.305
       0.444        0.000      150.094     1944.504
       0.471        0.000      129.812     1927.637
       0.506        0.000      202.336     3006.031
       0.543        0.000      215.645     3014.898
       0.580        0.000      184.145     2477.906
       0.618        0.000      141.383     1950.121
       0.669        0.000      164.293     2483.891
       0.704        0.000      213.746     3029.062
       0.753        0.000      225.020     3040.738
       0.796        0.000      190.109     2501.660
       0.827        0.000      183.090     2503.129
       0.862        0.000      133.090     1948.637
       0.893        0.000      201.992     3023.773
       0.930        0.000      217.266     3032.352
       0.974        0.000      190.055     2501.387
       1.031        0.000      148.648     1959.285
       1.072        0.000      171.094     2485.023
       1.107        0.000      214.242     3028.402
       1.141        0.000      226.953     3038.957
       1.177        0.000      194.938     2507.055
       1.228        0.000      173.039     2494.488
       1.276        0.000      169.520     2490.871
       1.309        0.000      210.961     3029.426
       1.349        0.000      224.070     3053.027
       1.388        0.000      104.934     1413.305
       1.421        0.000      201.688     3025.656
       1.456        0.000      215.914     3038.602
       1.493        0.000      213.773     3029.703
       1.534        0.000      184.496     2496.898
