# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.344      545.297
       0.009        0.000       35.598      545.297
       0.018        0.000       35.598      545.297
       0.027        0.000       36.410      545.359
       0.037        0.000       37.488      546.297
       0.046        0.000       38.281      546.297
       0.055        0.000       39.238      547.203
       0.064        0.000       39.445      547.586
       0.073        0.000       40.957      552.707
       0.082        0.000       41.340      552.805
       0.092        0.000       41.680      552.836
       0.101        0.000       43.340      553.289
       0.111        0.000       44.137      553.539
       0.121        0.000       45.164      554.539
       0.130        0.000       45.730      554.539
       0.139        0.000       48.133      555.305
       0.148        0.000       49.160      556.297
       0.158        0.000       50.828      557.340
       0.168        0.000       50.828      557.340
       0.176        0.000       51.293      557.340
       0.185        0.000       53.855      853.605
       0.196        0.000       53.688      853.703
       0.207        0.000       55.961      854.172
       0.218        0.000       58.215      854.453
       0.230        0.000       62.379      854.453
       0.242        0.000       63.398      855.344
       0.252        0.000       64.688      856.648
       0.262        0.000       65.066      856.199
       0.273        0.000       65.391      856.199
       0.284        0.000      154.305     2461.684
       0.311        0.000      199.660     3009.797
       0.347        0.000      213.988     3015.227
       0.383        0.000      224.625     3029.344
       0.418        0.000      168.988     2221.543
       0.449        0.000      134.727     1931.793
       0.503        0.000      212.363     3013.727
       0.557        0.000      231.574     3032.648
       0.610        0.000       94.945     1391.496
       0.646        0.000      191.332     3003.309
       0.680        0.000      207.035     3013.230
       0.714        0.000      220.641     3022.535
       0.753        0.000      176.398     2475.660
       0.795        0.000      131.727     1931.309
       0.831        0.000      208.297     3012.320
       0.881        0.000      183.070     2481.867
       0.931        0.000      145.609     1938.082
       0.955        0.000      106.184     1398.035
       0.979        0.000       65.637      856.289
       0.994        0.000        1.871        6.688
