# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       37.684      545.320
       0.009        0.000       38.816      545.570
       0.018        0.000       39.719      545.840
       0.027        0.000       41.258      546.715
       0.038        0.000       42.418      547.219
       0.048        0.000       43.246      547.715
       0.057        0.000       43.246      547.965
       0.065        0.000       44.062      552.965
       0.075        0.000       45.621      553.996
       0.084        0.000       46.328      553.707
       0.094        0.000       47.094      553.707
       0.103        0.000       48.121      554.707
       0.112        0.000       48.621      554.707
       0.121        0.000       49.199      554.707
       0.131        0.000       50.305      554.957
       0.140        0.000       52.199      555.957
       0.150        0.000       52.566      556.082
       0.159        0.000       52.703      556.082
       0.168        0.000       53.824      557.832
       0.177        0.000       53.996      557.832
       0.186        0.000       53.996      557.832
       0.195        0.000       54.992      558.672
       0.203        0.000       56.871      568.145
       0.214        0.000       60.250      578.445
       0.230        0.000       60.363      578.641
       0.245        0.000       60.066      601.547
       0.258        0.000       63.668      605.184
       0.274        0.000       68.520      605.715
       0.290        0.000       71.746      605.938
       0.304        0.000      136.414     1677.910
       0.339        0.000       73.523      605.715
       0.374        0.000       75.047      605.715
       0.402        0.000       79.855      606.465
       0.431        0.000       78.262      625.215
       0.462        0.000       87.070      625.215
       0.492        0.000       89.020      626.965
       0.521        0.000      100.316      627.715
       0.550        0.000      112.453      639.465
       0.582        0.000      120.184      646.965
       0.613        0.000      127.520      653.898
       0.642        0.000      192.539     1726.480
       0.681        0.000      223.598     2775.008
       0.711        0.000      229.773     2777.320
       0.743        0.000      232.539     2779.430
       0.773        0.000      236.180     2790.691
       0.802        0.000      248.453     2796.066
       0.832        0.000      254.684     2817.574
       0.862        0.000      259.344     2819.320
       0.893        0.000      259.922     2819.051
       0.922        0.000      266.738     2821.074
       0.949        0.000      273.496     2824.789
       0.978        0.000      279.938     2825.039
       1.006        0.000      287.723     2831.539
       1.039        0.000      288.574     2832.781
       1.068        0.000      293.973     2870.094
       1.099        0.000      296.965     2870.844
       1.133        0.000      300.516     2871.594
       1.162        0.000      307.723     2872.250
       1.190        0.000      314.887     2873.613
       1.218        0.000      321.188     2879.164
       1.248        0.000      325.000     2879.664
       1.276        0.000      330.789     2879.914
       1.305        0.000      337.125     2880.414
       1.334        0.000      348.270     2890.664
       1.363        0.000      352.816     2894.828
       1.391        0.000      354.340     2895.328
       1.421        0.000      355.730     2896.578
       1.450        0.000      361.398     2903.375
       1.481        0.000      362.699     2903.625
       1.509        0.000      304.852     1834.965
       1.534        0.000       94.793      626.742
       1.550        0.000       94.977      626.926
       1.559        0.000       94.977      626.926
       1.567        0.000       94.977      626.926
       1.575        0.000       94.977      626.926
       1.583        0.000       94.977      626.926
       1.590        0.000       94.977      626.926
       1.598        0.000       94.977      626.926
       1.606        0.000       94.977      626.926
       1.614        0.000        1.871        6.688
