# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.574      545.324
       0.013        0.000       35.832      545.324
       0.024        0.000       36.137      545.355
       0.038        0.000       37.699      546.320
       0.057        0.000       39.125      547.445
       0.072        0.000       39.336      547.445
       0.086        0.000       40.215      552.195
       0.098        0.000       41.410      552.512
       0.109        0.000       41.598      552.844
       0.120        0.000       42.453      553.051
       0.133        0.000       43.738      553.348
       0.146        0.000       44.766      553.598
       0.157        0.000       45.273      554.598
       0.168        0.000       46.105      554.730
       0.180        0.000       49.387      555.656
       0.196        0.000       51.109      557.699
       0.208        0.000       51.367      557.699
       0.219        0.000       51.609      557.699
       0.231        0.000       53.848      653.965
       0.244        0.000       54.309      854.586
       0.256        0.000       54.309      854.586
       0.268        0.000       81.148     1259.492
       0.286        0.000      114.879     1925.133
       0.312        0.000      123.691     1932.598
       0.338        0.000      128.164     1933.910
       0.371        0.000      132.996     1934.809
       0.398        0.000      138.598     1943.141
       0.430        0.000       36.023      839.895
       0.460        0.000        1.816        6.688
