# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.215      545.570
       0.013        0.000       36.906      545.820
       0.025        0.000       37.969      546.617
       0.038        0.000       38.512      546.336
       0.051        0.000       39.852      546.926
       0.063        0.000       40.445      547.949
       0.076        0.000       40.781      547.949
       0.089        0.000       41.086      547.949
       0.101        0.000       43.352      554.102
       0.119        0.000       43.898      553.914
       0.137        0.000       44.918      553.914
       0.154        0.000       46.457      554.914
       0.172        0.000       46.660      554.914
       0.188        0.000       47.129      554.914
       0.206        0.000       48.387      555.164
       0.223        0.000       50.203      556.164
       0.241        0.000       50.430      556.164
       0.259        0.000       50.617      556.164
       0.278        0.000       51.996      557.914
       0.295        0.000       52.246      557.914
       0.307        0.000       52.598      558.164
       0.322        0.000       55.887      576.824
       0.351        0.000       56.250      577.051
       0.375        0.000       55.703      599.660
       0.397        0.000      179.273     2743.645
       0.462        0.000       55.906      599.676
       0.527        0.000       63.551      602.270
       0.600        0.000      167.734     2213.465
       0.672        0.000      316.129     4373.938
       0.769        0.000      339.727     4384.980
       0.877        0.000      369.758     4425.629
       1.001        0.000      409.004     4477.215
       1.104        0.000      446.250     4530.395
       1.301        0.000      500.078     4548.707
       1.485        0.000      530.574     4605.277
       1.637        0.000      551.512     4665.090
       1.748        0.000      587.148     4692.598
       1.892        0.000      613.062     4704.215
       1.989        0.000      637.051     4728.965
       2.106        0.000      665.789     4734.082
       2.230        0.000      705.680     4757.680
       2.327        0.000      727.844     4774.262
       2.425        0.000      746.242     4788.574
       2.538        0.000      765.121     4798.371
       2.654        0.000      779.227     4813.008
       2.752        0.000      789.359     4824.668
       2.840        0.000      791.223     4828.164
       2.908        0.000      798.066     4835.461
       2.971        0.000      221.203     1791.227
       3.045        0.000       62.152      602.277
       3.060        0.000       62.172      602.277
       3.075        0.000       62.172      602.277
       3.089        0.000        1.816        6.688
