# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       37.430      545.293
       0.009        0.000       37.684      545.293
       0.018        0.000       37.684      545.293
       0.025        0.000       38.242      545.355
       0.034        0.000       39.734      546.324
       0.043        0.000       40.133      546.324
       0.052        0.000       41.332      547.199
       0.061        0.000       41.539      547.199
       0.070        0.000       42.270      552.449
       0.079        0.000       43.555      552.762
       0.088        0.000       44.004      552.867
       0.097        0.000       44.535      553.215
       0.106        0.000       45.570      553.160
       0.115        0.000       46.641      553.547
       0.124        0.000       47.207      554.547
       0.133        0.000       48.238      555.152
       0.142        0.000       50.531      555.309
       0.151        0.000       50.984      556.215
       0.160        0.000       52.477      557.676
       0.169        0.000       52.770      557.676
       0.178        0.000       52.941      557.676
       0.187        0.000       53.094      854.562
       0.198        0.000       53.629      854.562
       0.210        0.000       57.141      854.691
       0.221        0.000       57.902      855.441
       0.231        0.000       62.508      855.441
       0.242        0.000       62.723      855.441
       0.252        0.000       64.770      857.188
       0.262        0.000       66.059      857.188
       0.272        0.000       66.316      857.188
       0.281        0.000       90.996     1262.051
       0.297        0.000      184.664     2998.609
       0.327        0.000      202.879     3013.289
       0.360        0.000      214.387     3015.504
       0.395        0.000      228.789     3026.922
       0.429        0.000      149.656     1950.766
       0.459        0.000       47.867      854.527
       0.478        0.000        1.871        6.684
